Date,Symbol,Side,Price,Quantity,Fee,Realized P&L
2024-01-01 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-02 04:30,BTCUSDT,Long,50000,0.1,2,-100
2024-01-03 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-04 04:30,BTCUSDT,Long,50000,0.1,2,-100
2024-01-05 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-06 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-07 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-08 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-09 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-10 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-11 04:30,BTCUSDT,Long,50000,0.1,2,-100
2024-01-12 04:30,BTCUSDT,Long,50000,0.1,2,-100
2024-01-13 04:30,BTCUSDT,Long,50000,0.1,2,-100
2024-01-14 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-15 04:30,BTCUSDT,Long,50000,0.1,2,-100
2024-01-16 04:30,BTCUSDT,Long,50000,0.1,2,-100
2024-01-17 04:30,BTCUSDT,Long,50000,0.1,2,300
2024-01-18 04:30,BTCUSDT,Long,50000,0.1,2,300
